NRules, NConj,|U|mean,|U|stdv,|R|mean,|R|stdv,|O|mean,|O|stdv,|UP|mean,|UP|stdv,Compres.mean,Compres.stdv,Compres.95%,Syn.Sim.mean,Syn.Sim.stdv,Syn.Sim.95%,timemean,timestdv,time95%,|GenRules|mean,|GenRules|stdv,UPperRulemean,UPperRulestdv,densitymean,densitystdv
10,4,  205.6,   15.6,   62.2,    5.7,    6.1,    0.9,  401.5,   90.5,1.79,0.21,0.00,0.63,0.04,0.00,0.04,0.20,0.00,11.70,1.53,35.15,9.18,0.06937,0.01061
10,3,  205.6,   15.6,   62.2,    5.7,    6.1,    0.9,  499.2,  102.7,1.66,0.21,0.00,0.67,0.04,0.00,0.06,0.24,0.00,11.64,1.57,78.82,17.21,0.07248,0.01120
10,2,  205.6,   15.6,   62.2,    5.7,    6.1,    0.9,  620.3,  116.5,1.55,0.18,0.00,0.69,0.03,0.00,0.10,0.30,0.00,11.40,1.50,136.41,28.69,0.07601,0.01136
10,1,  205.6,   15.6,   62.2,    5.7,    6.1,    0.9,  780.8,  164.5,1.35,0.20,0.00,0.72,0.04,0.00,0.20,0.40,0.00,11.82,1.89,200.95,36.06,0.07886,0.01163
10,0,  205.6,   15.6,   62.2,    5.7,    6.1,    0.9, 1024.6,  222.1,1.12,0.16,0.00,0.78,0.05,0.00,0.68,0.79,0.00,11.76,1.82,297.72,62.44,0.08101,0.01177
30,4,  601.1,   26.9,  192.7,    9.4,    7.9,    0.3, 1131.6,  150.4,1.76,0.11,0.00,0.62,0.02,0.00,1.10,0.51,0.00,33.48,1.94,34.05,4.80,0.02243,0.00227
30,3,  601.1,   26.9,  192.7,    9.4,    7.9,    0.3, 1479.2,  210.1,1.63,0.11,0.00,0.66,0.03,0.00,2.16,0.91,0.00,33.36,2.08,78.99,10.70,0.02381,0.00228
30,2,  601.1,   26.9,  192.7,    9.4,    7.9,    0.3, 1918.7,  355.5,1.50,0.13,0.00,0.69,0.03,0.00,3.46,1.37,0.00,33.82,2.58,136.13,20.50,0.02551,0.00323
30,1,  601.1,   26.9,  192.7,    9.4,    7.9,    0.3, 2539.9,  586.3,1.28,0.15,0.00,0.72,0.03,0.00,5.56,1.98,0.00,34.70,4.02,209.91,33.51,0.02743,0.00389
30,0,  601.1,   26.9,  192.7,    9.4,    7.9,    0.3, 4899.0, 2145.9,0.92,0.18,0.00,0.77,0.03,0.00,14.42,7.24,0.00,37.84,5.19,342.80,89.25,0.03266,0.00934
50,4, 1008.1,   37.9,  317.7,   15.0,    8.0,    0.0, 1974.5,  282.2,1.75,0.08,0.00,0.62,0.02,0.00,4.86,1.71,0.00,54.94,2.20,36.20,5.31,0.01361,0.00141
50,3, 1008.1,   37.9,  317.7,   15.0,    8.0,    0.0, 2525.6,  326.1,1.63,0.09,0.00,0.65,0.02,0.00,7.52,2.05,0.00,55.14,2.29,82.42,11.05,0.01431,0.00144
50,2, 1008.1,   37.9,  317.7,   15.0,    8.0,    0.0, 3313.5,  525.5,1.52,0.08,0.00,0.68,0.02,0.00,11.78,3.41,0.00,54.90,2.39,144.40,19.55,0.01542,0.00163
50,1, 1008.1,   37.9,  317.7,   15.0,    8.0,    0.0, 4731.8, 1296.4,1.27,0.15,0.00,0.70,0.02,0.00,21.10,7.29,0.00,56.90,3.88,227.81,39.46,0.01722,0.00330
50,0, 1008.1,   37.9,  317.7,   15.0,    8.0,    0.0,11968.8, 5191.9,0.84,0.18,0.00,0.75,0.03,0.00,58.88,18.70,0.00,63.80,6.60,438.14,136.36,0.02502,0.00718
