NRules, NConj,|U|mean,|U|stdv,|R|mean,|R|stdv,|O|mean,|O|stdv,|UP|mean,|UP|stdv,Compres.mean,Compres.stdv,Compres.95%,Syn.Sim.mean,Syn.Sim.stdv,Syn.Sim.95%,timemean,timestdv,time95%,|GenRules|mean,|GenRules|stdv,UPperRulemean,UPperRulestdv,densitymean,densitystdv
10,4,  205.6,   15.6,   62.2,    5.7,    6.1,    0.9,  401.5,   90.5,1.79,0.21,0.00,0.63,0.04,0.00,0.04,0.20,0.00,11.70,1.53,35.15,9.18,0.06937,0.01061
10,3,  205.6,   15.6,   62.2,    5.7,    6.1,    0.9,  496.7,  100.3,1.65,0.23,0.00,0.67,0.03,0.00,0.02,0.14,0.00,11.66,1.59,78.96,18.86,0.07272,0.01110
10,2,  205.6,   15.6,   62.2,    5.7,    6.1,    0.9,  611.5,  117.2,1.55,0.19,0.00,0.69,0.03,0.00,0.02,0.14,0.00,11.40,1.21,135.43,28.60,0.07524,0.01119
10,1,  205.6,   15.6,   62.2,    5.7,    6.1,    0.9,  755.7,  150.3,1.38,0.17,0.00,0.72,0.04,0.00,0.12,0.33,0.00,11.56,1.57,202.89,45.78,0.07801,0.01100
10,0,  205.6,   15.6,   62.2,    5.7,    6.1,    0.9, 1046.9,  315.2,1.16,0.16,0.00,0.77,0.04,0.00,0.66,0.77,0.00,11.50,1.57,300.00,68.64,0.08062,0.01332
30,4,  601.1,   26.9,  192.7,    9.4,    7.9,    0.3, 1131.6,  150.4,1.76,0.11,0.00,0.62,0.02,0.00,1.22,0.55,0.00,33.48,1.94,34.06,4.82,0.02243,0.00227
30,3,  601.1,   26.9,  192.7,    9.4,    7.9,    0.3, 1477.2,  210.9,1.63,0.11,0.00,0.66,0.02,0.00,2.20,0.81,0.00,33.44,2.57,78.92,11.36,0.02384,0.00250
30,2,  601.1,   26.9,  192.7,    9.4,    7.9,    0.3, 1868.8,  325.1,1.49,0.13,0.00,0.69,0.02,0.00,3.88,1.66,0.00,33.74,3.03,134.88,18.11,0.02511,0.00275
30,1,  601.1,   26.9,  192.7,    9.4,    7.9,    0.3, 2544.9, 1035.4,1.30,0.16,0.00,0.72,0.03,0.00,6.60,4.16,0.00,34.44,3.73,209.47,39.06,0.02723,0.00505
30,0,  601.1,   26.9,  192.7,    9.4,    7.9,    0.3, 5013.3, 2229.8,0.87,0.21,0.00,0.77,0.03,0.00,19.68,11.32,0.00,40.26,8.23,332.78,86.84,0.03345,0.00875
50,4, 1008.1,   37.9,  317.7,   15.0,    8.0,    0.0, 1974.5,  282.2,1.75,0.08,0.00,0.62,0.02,0.00,5.76,2.41,0.00,54.92,2.17,36.18,5.30,0.01361,0.00141
50,3, 1008.1,   37.9,  317.7,   15.0,    8.0,    0.0, 2537.2,  326.9,1.63,0.08,0.00,0.65,0.02,0.00,9.32,3.51,0.00,55.32,2.34,82.25,10.90,0.01437,0.00140
50,2, 1008.1,   37.9,  317.7,   15.0,    8.0,    0.0, 3248.0,  456.0,1.52,0.08,0.00,0.67,0.02,0.00,14.80,5.91,0.00,55.26,2.81,142.30,20.32,0.01526,0.00142
50,1, 1008.1,   37.9,  317.7,   15.0,    8.0,    0.0, 5044.5, 2211.5,1.29,0.16,0.00,0.70,0.02,0.00,28.22,11.79,0.00,57.42,5.33,229.32,44.13,0.01810,0.00531
50,0, 1008.1,   37.9,  317.7,   15.0,    8.0,    0.0,13096.1, 7559.8,0.80,0.20,0.00,0.76,0.02,0.00,101.30,56.79,0.00,65.70,8.18,455.25,194.85,0.02717,0.01109
