NRules, Noverlap,|U|mean,|U|stdv,|R|mean,|R|stdv,|O|mean,|O|stdv,|UP|mean,|UP|stdv,Compres.mean,Compres.stdv,Compres.95%,Syn.Sim.mean,Syn.Sim.stdv,Syn.Sim.95%,timemean,timestdv,time95%,|GenRules|mean,|GenRules|stdv,UPperRulemean,UPperRulestdv,densitymean,densitystdv
10,100,  182.1,   23.5,   49.6,    5.4,    6.0,    1.0,  666.2,  199.1,2.28,0.74,0.00,0.73,0.05,0.00,0.06,0.24,0.00,11.90,1.72,292.56,61.16,0.10487,0.02217
10,75,  171.6,   22.6,   49.2,    5.2,    6.0,    0.9,  663.2,  211.0,1.88,0.69,0.00,0.72,0.05,0.00,0.04,0.20,0.00,12.18,1.99,227.68,52.79,0.10571,0.01974
10,50,  164.1,   19.4,   49.7,    5.4,    6.0,    0.9,  642.9,  219.4,1.64,0.66,0.00,0.73,0.05,0.00,0.02,0.14,0.00,11.94,2.06,174.47,54.56,0.10233,0.01925
10,25,  161.3,   19.5,   47.9,    6.0,    5.9,    0.9,  650.4,  213.4,1.50,0.55,0.00,0.73,0.05,0.00,0.02,0.14,0.00,11.66,1.89,119.60,36.99,0.10727,0.02233
10,0,  155.1,   18.7,   48.3,    5.9,    6.1,    1.0,  677.5,  232.7,1.42,0.41,0.00,0.72,0.05,0.00,0.08,0.34,0.00,11.68,1.71,60.55,22.28,0.10979,0.02316
30,100,  443.2,   47.4,  145.8,   10.5,    7.9,    0.3, 2895.8,  792.7,1.26,0.33,0.00,0.69,0.03,0.00,3.90,1.82,0.00,39.66,6.21,385.94,109.95,0.04396,0.00844
30,75,  438.8,   45.1,  144.7,    9.7,    7.9,    0.4, 2844.8,  767.7,1.25,0.32,0.00,0.70,0.03,0.00,3.76,1.67,0.00,38.94,5.75,310.40,85.29,0.04398,0.00845
30,50,  436.6,   37.2,  143.9,    8.4,    7.9,    0.3, 2901.0,  795.4,1.21,0.28,0.00,0.70,0.03,0.00,3.58,1.90,0.00,38.64,6.56,232.40,61.04,0.04433,0.00821
30,25,  431.1,   32.3,  146.0,   11.0,    7.8,    0.4, 2752.4,  836.6,1.16,0.21,0.00,0.70,0.04,0.00,3.46,1.81,0.00,38.54,5.62,150.23,39.56,0.04240,0.00910
30,0,  433.7,   33.5,  144.3,    9.7,    7.9,    0.3, 2672.2,  650.8,1.17,0.22,0.00,0.70,0.04,0.00,3.10,1.54,0.00,37.90,6.36,74.64,16.60,0.04302,0.00875
50,100,  696.3,   51.9,  242.9,   17.5,    8.0,    0.0, 5246.1,  972.5,1.07,0.21,0.00,0.69,0.03,0.00,13.00,4.52,0.00,69.32,7.51,466.36,98.88,0.02831,0.00526
50,75,  689.1,   38.5,  241.5,   16.9,    8.0,    0.0, 5219.3,  976.3,1.05,0.16,0.00,0.69,0.03,0.00,12.90,4.41,0.00,68.48,6.99,388.31,90.49,0.02850,0.00511
50,50,  691.6,   41.6,  239.5,   18.5,    8.0,    0.0, 5478.0, 1241.4,1.07,0.18,0.00,0.69,0.03,0.00,12.58,4.27,0.00,68.08,7.33,307.93,86.76,0.02924,0.00588
50,25,  683.7,   51.8,  235.7,   19.2,    8.0,    0.0, 5839.2, 2009.9,1.07,0.18,0.00,0.69,0.04,0.00,12.88,5.68,0.00,69.80,11.16,213.52,65.31,0.03089,0.00858
50,0,  675.0,   68.0,  214.5,   11.6,    8.0,    0.0, 7402.2, 2434.6,1.18,0.28,0.00,0.71,0.03,0.00,12.10,6.64,0.00,72.54,13.56,115.54,35.11,0.03912,0.00965
