NRules, Noverlap,|U|mean,|U|stdv,|R|mean,|R|stdv,|O|mean,|O|stdv,|UP|mean,|UP|stdv,Compres.mean,Compres.stdv,Compres.95%,Syn.Sim.mean,Syn.Sim.stdv,Syn.Sim.95%,timemean,timestdv,time95%,|GenRules|mean,|GenRules|stdv,UPperRulemean,UPperRulestdv,densitymean,densitystdv
10,100,  172.7,   26.0,   49.4,    5.2,    6.1,    1.0,  729.7,  260.7,2.13,0.74,0.00,0.72,0.05,0.00,0.16,0.47,0.00,12.52,2.14,303.04,67.92,0.10438,0.02498
10,75,  166.7,   27.7,   48.8,    5.3,    6.0,    0.9,  702.3,  242.5,1.89,0.71,0.00,0.72,0.05,0.00,0.12,0.44,0.00,12.64,2.73,239.61,58.07,0.10521,0.02518
10,50,  161.9,   24.7,   47.9,    5.5,    6.0,    1.0,  730.1,  242.3,1.76,0.71,0.00,0.71,0.06,0.00,0.10,0.36,0.00,12.64,2.98,178.27,41.31,0.11079,0.02459
10,25,  165.5,   23.8,   48.7,    4.6,    5.9,    0.9,  676.2,  156.3,1.85,0.69,0.00,0.73,0.05,0.00,0.00,0.00,0.00,11.74,1.72,121.82,31.60,0.10968,0.01854
10,0,  182.1,   23.5,   49.6,    5.4,    6.0,    1.0,  666.2,  199.1,2.28,0.74,0.00,0.73,0.05,0.00,0.06,0.31,0.00,11.90,1.72,59.69,18.67,0.10487,0.02217
30,100,  428.4,   46.4,  146.3,   11.8,    8.0,    0.2, 3188.3,  948.3,1.16,0.33,0.00,0.69,0.03,0.00,7.30,5.45,0.00,44.38,7.56,375.39,62.74,0.04605,0.00899
30,75,  427.5,   45.2,  145.9,   11.1,    8.0,    0.2, 3204.1,  957.2,1.15,0.32,0.00,0.69,0.03,0.00,7.26,5.45,0.00,44.54,7.93,295.40,53.75,0.04619,0.00889
30,50,  416.9,   35.1,  144.1,   10.1,    7.9,    0.3, 2932.1,  558.0,1.09,0.25,0.00,0.69,0.03,0.00,5.90,2.54,0.00,42.10,5.46,225.87,49.28,0.04324,0.00607
30,25,  421.6,   37.1,  145.3,   10.8,    7.9,    0.2, 2868.6,  473.3,1.13,0.23,0.00,0.69,0.03,0.00,5.50,1.87,0.00,41.34,5.70,152.01,31.74,0.04308,0.00619
30,0,  443.2,   47.4,  145.8,   10.5,    7.9,    0.3, 2895.8,  792.7,1.27,0.34,0.00,0.70,0.03,0.00,5.24,2.52,0.00,39.80,6.32,79.95,25.59,0.04396,0.00844
50,100,  665.2,   58.8,  241.9,   13.0,    8.0,    0.0, 6198.6, 1229.2,0.90,0.22,0.00,0.67,0.03,0.00,32.24,12.85,0.00,81.26,12.84,422.36,94.27,0.03023,0.00467
50,75,  665.2,   58.8,  241.9,   13.0,    8.0,    0.0, 6198.6, 1229.2,0.90,0.22,0.00,0.67,0.03,0.00,33.26,16.44,0.00,81.26,12.84,334.17,77.38,0.03023,0.00467
50,50,  666.7,   60.4,  241.7,   13.4,    8.0,    0.0, 6340.1, 1833.0,0.91,0.23,0.00,0.67,0.03,0.00,33.52,19.58,0.00,80.54,14.00,246.66,51.09,0.03096,0.00672
50,25,  665.9,   56.0,  243.4,   12.7,    8.0,    0.0, 5941.8, 1758.0,0.93,0.23,0.00,0.67,0.03,0.00,29.26,18.25,0.00,78.78,14.69,160.03,30.27,0.03030,0.00670
50,0,  696.3,   51.9,  242.9,   17.5,    8.0,    0.0, 5246.1,  972.5,1.07,0.21,0.00,0.69,0.03,0.00,19.22,5.93,0.00,69.50,7.61,82.26,14.76,0.02831,0.00526
