N,|U|mean,|U|stdv,|R|mean,|R|stdv,|O|mean,|O|stdv,|UP|mean,|UP|stdv,Compres.mean,Compres.stdv,Compres.95%,Syn.Sim.mean,Syn.Sim.stdv,Syn.Sim.95%,timemean,timestdv,time95%,|GenRules|mean,|GenRules|stdv,UPperRulemean,UPperRulestdv,densitymean,densitystdv
1,   10.0,    0.0,   20.0,    0.0,    7.0,    0.0,   96.0,    0.0,1.14,0.00,0.00,0.86,0.00,0.00,0.26,0.31,0.00,11.00,0.00,9.64,0.00,0.12973,0.00000,
2,   20.0,    0.0,   40.0,    0.0,    7.0,    0.0,  192.0,    0.0,1.00,0.00,0.00,1.00,0.00,0.00,0.21,0.14,0.00,11.00,0.00,19.27,0.00,0.06486,0.00000,
3,   30.0,    0.0,   60.0,    0.0,    7.0,    0.0,  288.0,    0.0,1.00,0.00,0.00,1.00,0.00,0.00,0.28,0.01,0.00,11.00,0.00,28.91,0.00,0.04324,0.00000,
4,   40.0,    0.0,   80.0,    0.0,    7.0,    0.0,  384.0,    0.0,1.00,0.00,0.00,1.00,0.00,0.00,0.53,0.04,0.00,11.00,0.00,38.55,0.00,0.03243,0.00000,
5,   50.0,    0.0,  100.0,    0.0,    7.0,    0.0,  480.0,    0.0,1.00,0.00,0.00,1.00,0.00,0.00,0.85,0.03,0.00,11.00,0.00,48.18,0.00,0.02595,0.00000,
6,   60.0,    0.0,  120.0,    0.0,    7.0,    0.0,  576.0,    0.0,1.00,0.00,0.00,1.00,0.00,0.00,1.30,0.04,0.00,11.00,0.00,57.82,0.00,0.02162,0.00000,
7,   70.0,    0.0,  140.0,    0.0,    7.0,    0.0,  672.0,    0.0,1.00,0.00,0.00,1.00,0.00,0.00,1.83,0.05,0.00,11.00,0.00,67.45,0.00,0.01853,0.00000,
8,   80.0,    0.0,  160.0,    0.0,    7.0,    0.0,  768.0,    0.0,1.00,0.00,0.00,1.00,0.00,0.00,2.53,0.07,0.00,11.00,0.00,77.09,0.00,0.01622,0.00000,
9,   90.0,    0.0,  180.0,    0.0,    7.0,    0.0,  864.0,    0.0,1.00,0.00,0.00,1.00,0.00,0.00,3.39,0.07,0.00,11.00,0.00,86.73,0.00,0.01441,0.00000,
10,  100.0,    0.0,  200.0,    0.0,    7.0,    0.0,  960.0,    0.0,1.00,0.00,0.00,1.00,0.00,0.00,4.38,0.09,0.00,11.00,0.00,96.36,0.00,0.01297,0.00000,
11,  110.0,    0.0,  220.0,    0.0,    7.0,    0.0, 1056.0,    0.0,1.00,0.00,0.00,1.00,0.00,0.00,5.34,0.10,0.00,11.00,0.00,106.00,0.00,0.01179,0.00000,
12,  120.0,    0.0,  240.0,    0.0,    7.0,    0.0, 1152.0,    0.0,1.00,0.00,0.00,1.00,0.00,0.00,6.40,0.11,0.00,11.00,0.00,115.64,0.00,0.01081,0.00000,
13,  130.0,    0.0,  260.0,    0.0,    7.0,    0.0, 1248.0,    0.0,1.00,0.00,0.00,1.00,0.00,0.00,8.47,0.83,0.00,11.00,0.00,125.27,0.00,0.00998,0.00000,
14,  140.0,    0.0,  280.0,    0.0,    7.0,    0.0, 1344.0,    0.0,1.00,0.00,0.00,1.00,0.00,0.00,11.35,1.44,0.00,11.00,0.00,134.91,0.00,0.00927,0.00000,
15,  150.0,    0.0,  300.0,    0.0,    7.0,    0.0, 1440.0,    0.0,1.00,0.00,0.00,1.00,0.00,0.00,10.96,0.18,0.00,11.00,0.00,144.55,0.00,0.00865,0.00000,
16,  160.0,    0.0,  320.0,    0.0,    7.0,    0.0, 1536.0,    0.0,1.00,0.00,0.00,1.00,0.00,0.00,12.70,0.41,0.00,11.00,0.00,154.18,0.00,0.00811,0.00000,
17,  170.0,    0.0,  340.0,    0.0,    7.0,    0.0, 1632.0,    0.0,1.00,0.00,0.00,1.00,0.00,0.00,14.85,0.85,0.00,11.00,0.00,163.82,0.00,0.00763,0.00000,
18,  180.0,    0.0,  360.0,    0.0,    7.0,    0.0, 1728.0,    0.0,1.00,0.00,0.00,1.00,0.00,0.00,13.48,0.90,0.00,11.00,0.00,173.45,0.00,0.00721,0.00000,
19,  190.0,    0.0,  380.0,    0.0,    7.0,    0.0, 1824.0,    0.0,1.00,0.00,0.00,1.00,0.00,0.00,18.02,1.91,0.00,11.00,0.00,183.09,0.00,0.00683,0.00000,
20,  200.0,    0.0,  400.0,    0.0,    7.0,    0.0, 1920.0,    0.0,1.00,0.00,0.00,1.00,0.00,0.00,19.41,2.11,0.00,11.00,0.00,192.73,0.00,0.00649,0.00000,
