N,|U|mean,|U|stdv,|R|mean,|R|stdv,|O|mean,|O|stdv,|UP|mean,|UP|stdv,Compres.mean,Compres.stdv,Compres.95%,Syn.Sim.mean,Syn.Sim.stdv,Syn.Sim.95%,timemean,timestdv,time95%,|GenRules|mean,|GenRules|stdv,UPperRulemean,UPperRulestdv,densitymean,densitystdv
1,   20.0,    0.0,   72.0,    0.0,    3.0,    0.0,  137.4,    4.8,1.08,0.02,0.00,0.94,0.01,0.00,0.00,0.00,0.00,9.00,0.00,17.71,0.54,0.14187,0.00473,
2,   40.0,    0.0,  144.0,    0.0,    3.0,    0.0,  293.0,    8.5,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,37.44,0.94,0.07268,0.00207,
3,   60.0,    0.0,  216.0,    0.0,    3.0,    0.0,  452.3,   13.8,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,57.58,1.54,0.04863,0.00129,
4,   80.0,    0.0,  288.0,    0.0,    3.0,    0.0,  586.9,   14.4,1.00,0.00,0.00,1.00,0.00,0.00,0.05,0.22,0.00,9.00,0.00,74.98,1.60,0.03682,0.00099,
5,  100.0,    0.0,  360.0,    0.0,    3.0,    0.0,  756.9,   19.7,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,9.00,0.00,96.32,2.19,0.02984,0.00049,
6,  120.0,    0.0,  432.0,    0.0,    3.0,    0.0,  909.2,   22.8,1.00,0.00,0.00,1.00,0.00,0.00,1.95,0.22,0.00,9.00,0.00,115.68,2.54,0.02453,0.00058,
7,  140.0,    0.0,  504.0,    0.0,    3.0,    0.0, 1071.1,   15.4,1.00,0.00,0.00,1.00,0.00,0.00,2.15,0.37,0.00,9.00,0.00,136.12,1.71,0.02102,0.00032,
8,  160.0,    0.0,  576.0,    0.0,    3.0,    0.0, 1192.6,   30.3,1.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,9.00,0.00,152.07,3.37,0.01838,0.00031,
9,  180.0,    0.0,  648.0,    0.0,    3.0,    0.0, 1378.7,   22.5,1.00,0.00,0.00,1.00,0.00,0.00,4.00,0.00,0.00,9.00,0.00,175.19,2.49,0.01633,0.00020,
10,  200.0,    0.0,  720.0,    0.0,    3.0,    0.0, 1532.2,   21.6,1.00,0.00,0.00,1.00,0.00,0.00,5.05,0.22,0.00,9.00,0.00,194.69,2.40,0.01490,0.00022,
11,  220.0,    0.0,  792.0,    0.0,    3.0,    0.0, 1696.8,   25.0,1.00,0.00,0.00,1.00,0.00,0.00,6.05,0.22,0.00,9.00,0.00,215.42,2.78,0.01352,0.00014,
12,  240.0,    0.0,  864.0,    0.0,    3.0,    0.0, 1856.9,   23.9,1.00,0.00,0.00,1.00,0.00,0.00,7.40,0.50,0.00,9.00,0.00,235.65,2.65,0.01238,0.00014,
13,  260.0,    0.0,  936.0,    0.0,    3.0,    0.0, 1986.9,   31.6,1.00,0.00,0.00,1.00,0.00,0.00,8.95,0.22,0.00,9.00,0.00,252.54,3.52,0.01141,0.00016,
14,  280.0,    0.0, 1008.0,    0.0,    3.0,    0.0, 2168.3,   25.4,1.00,0.00,0.00,1.00,0.00,0.00,10.75,0.44,0.00,9.00,0.00,275.14,2.82,0.01063,0.00009,
15,  300.0,    0.0, 1080.0,    0.0,    3.0,    0.0, 2300.7,   34.8,1.00,0.00,0.00,1.00,0.00,0.00,12.25,0.44,0.00,9.00,0.00,292.29,3.87,0.00992,0.00008,
16,  320.0,    0.0, 1152.0,    0.0,    3.0,    0.0, 2404.4,   45.9,1.00,0.00,0.00,1.00,0.00,0.00,14.30,0.57,0.00,9.00,0.00,306.27,5.10,0.00917,0.00007,
17,  340.0,    0.0, 1224.0,    0.0,    3.0,    0.0, 2653.2,   34.2,1.00,0.00,0.00,1.00,0.00,0.00,17.05,0.60,0.00,9.00,0.00,336.36,3.80,0.00877,0.00010,
18,  360.0,    0.0, 1296.0,    0.0,    3.0,    0.0, 2789.7,   25.5,1.00,0.00,0.00,1.00,0.00,0.00,19.70,0.66,0.00,9.00,0.00,353.97,2.83,0.00825,0.00006,
19,  380.0,    0.0, 1368.0,    0.0,    3.0,    0.0, 2932.4,   28.0,1.00,0.00,0.00,1.00,0.00,0.00,22.35,0.59,0.00,9.00,0.00,372.27,3.11,0.00780,0.00008,
20,  400.0,    0.0, 1440.0,    0.0,    3.0,    0.0, 3098.0,   33.9,1.00,0.00,0.00,1.00,0.00,0.00,25.35,0.49,0.00,9.00,0.00,393.11,3.77,0.00743,0.00007,
