N,|U|mean,|U|stdv,|R|mean,|R|stdv,|O|mean,|O|stdv,|UP|mean,|UP|stdv,Compres.mean,Compres.stdv,Compres.95%,Syn.Sim.mean,Syn.Sim.stdv,Syn.Sim.95%,timemean,timestdv,time95%,|GenRules|mean,|GenRules|stdv,UPperRulemean,UPperRulestdv,densitymean,densitystdv
1,   49.8,   21.8,  101.4,   47.6,    9.0,    0.0,  427.7,  204.5,1.03,0.00,0.00,0.99,0.00,0.00,1.45,2.44,0.00,10.00,0.00,42.77,20.45,0.04064,0.01906,
2,  101.9,   30.1,  211.9,   65.7,    9.0,    0.0,  899.1,  286.6,1.00,0.00,0.00,1.00,0.00,0.00,5.55,4.81,0.00,10.00,0.00,89.91,28.66,0.01800,0.00602,
3,  151.8,   33.5,  318.5,   74.0,    9.0,    0.0, 1353.1,  321.1,1.00,0.00,0.00,1.00,0.00,0.00,5.85,1.53,0.00,10.00,0.00,135.31,32.11,0.01172,0.00333,
4,  196.4,   32.9,  408.5,   72.4,    9.0,    0.0, 2297.8,  411.3,1.00,0.00,0.00,1.00,0.00,0.00,12.30,6.15,0.00,10.00,0.00,229.78,41.13,0.01164,0.00216,
5,  241.8,   37.9,  504.7,   83.5,    9.0,    0.0, 2838.6,  473.8,1.00,0.00,0.00,1.00,0.00,0.00,10.15,2.89,0.00,10.00,0.00,283.86,47.38,0.00942,0.00161,
6,  291.2,   43.2,  609.1,   95.3,    9.0,    0.0, 3427.5,  541.7,1.00,0.00,0.00,1.00,0.00,0.00,15.10,5.99,0.00,10.00,0.00,342.75,54.17,0.00779,0.00114,
7,  338.1,   52.4,  704.5,  115.0,    9.0,    0.0, 4940.5,  815.5,1.00,0.00,0.00,1.00,0.00,0.00,25.90,9.20,0.00,10.00,0.00,494.05,81.55,0.00837,0.00127,
8,  381.4,   60.3,  795.3,  133.0,    9.0,    0.0, 5577.8,  944.6,1.00,0.00,0.00,1.00,0.00,0.00,34.40,12.67,0.00,10.00,0.00,557.78,94.46,0.00743,0.00111,
9,  432.1,   63.7,  903.4,  140.0,    9.0,    0.0, 6337.0,  992.2,1.00,0.00,0.00,1.00,0.00,0.00,44.00,14.61,0.00,10.00,0.00,633.70,99.22,0.00654,0.00092,
10,  478.5,   70.1,  996.9,  154.5,    9.0,    0.0, 8374.4, 1308.8,1.00,0.00,0.00,1.00,0.00,0.00,67.30,24.00,0.00,10.00,0.00,837.44,130.88,0.00708,0.00103,
