N,|U|mean,|U|stdv,|R|mean,|R|stdv,|O|mean,|O|stdv,|UP|mean,|UP|stdv,Compres.mean,Compres.stdv,Compres.95%,Syn.Sim.mean,Syn.Sim.stdv,Syn.Sim.95%,timemean,timestdv,time95%,|GenRules|mean,|GenRules|stdv,UPperRulemean,UPperRulestdv,densitymean,densitystdv
1,   49.8,   21.8,  101.4,   47.6,    9.0,    0.0,  427.7,  204.5,1.03,0.00,0.00,0.99,0.00,0.00,0.05,0.22,0.00,10.00,0.00,42.77,20.45,0.04064,0.01906,
2,  101.9,   30.1,  211.9,   65.7,    9.0,    0.0,  899.1,  286.6,1.00,0.00,0.00,1.00,0.00,0.00,0.75,0.79,0.00,10.00,0.00,89.91,28.66,0.01800,0.00602,
3,  151.8,   33.5,  318.5,   74.0,    9.0,    0.0, 1353.1,  321.1,1.00,0.00,0.00,1.00,0.00,0.00,2.15,1.04,0.00,10.00,0.00,135.31,32.11,0.01172,0.00333,
4,  196.4,   32.9,  408.5,   72.4,    9.0,    0.0, 2297.8,  411.3,1.00,0.00,0.00,1.00,0.00,0.00,5.75,1.71,0.00,10.00,0.00,229.78,41.13,0.01164,0.00216,
5,  241.8,   37.9,  504.7,   83.5,    9.0,    0.0, 2838.6,  473.8,1.00,0.00,0.00,1.00,0.00,0.00,8.50,2.67,0.00,10.00,0.00,283.86,47.38,0.00942,0.00161,
6,  291.2,   43.2,  609.1,   95.3,    9.0,    0.0, 3427.5,  541.7,1.00,0.00,0.00,1.00,0.00,0.00,11.60,3.28,0.00,10.00,0.00,342.75,54.17,0.00779,0.00114,
7,  338.1,   52.4,  704.5,  115.0,    9.0,    0.0, 4940.5,  815.5,1.00,0.00,0.00,1.00,0.00,0.00,15.00,4.66,0.00,10.00,0.00,494.05,81.55,0.00837,0.00127,
8,  381.4,   60.3,  795.3,  133.0,    9.0,    0.0, 5577.8,  944.6,1.00,0.00,0.00,1.00,0.00,0.00,18.90,7.85,0.00,10.00,0.00,557.78,94.46,0.00743,0.00111,
9,  432.1,   63.7,  903.4,  140.0,    9.0,    0.0, 6337.0,  992.2,1.00,0.00,0.00,1.00,0.00,0.00,24.75,10.92,0.00,10.00,0.00,633.70,99.22,0.00654,0.00092,
10,  478.5,   70.1,  996.9,  154.5,    9.0,    0.0, 8374.4, 1308.8,1.00,0.00,0.00,1.00,0.00,0.00,40.40,20.47,0.00,10.00,0.00,837.44,130.88,0.00708,0.00103,
11,  526.4,   72.3, 1098.1,  159.3,    9.0,    0.0, 9225.7, 1348.0,1.00,0.00,0.00,1.00,0.00,0.00,48.50,20.37,0.00,10.00,0.00,922.57,134.80,0.00642,0.00089,
12,  575.7,   82.5, 1203.5,  180.8,    9.0,    0.0,10111.6, 1531.2,1.00,0.00,0.00,1.00,0.00,0.00,61.80,20.66,0.00,10.00,0.00,1011.15,153.12,0.00588,0.00084,
13,  621.8,   85.7, 1297.2,  187.8,    9.0,    0.0,12692.5, 1852.2,1.00,0.00,0.00,1.00,0.00,0.00,77.35,22.63,0.00,10.00,0.00,1269.25,185.22,0.00633,0.00089,
14,  666.9,   86.0, 1392.9,  189.3,    9.0,    0.0,13628.2, 1864.6,1.00,0.00,0.00,1.00,0.00,0.00,93.60,23.10,0.00,10.00,0.00,1362.82,186.46,0.00588,0.00074,
15,  708.0,   88.5, 1479.3,  194.3,    9.0,    0.0,14474.6, 1915.1,1.00,0.00,0.00,1.00,0.00,0.00,101.70,29.25,0.00,10.00,0.00,1447.46,191.51,0.00554,0.00069,
16,  754.9,   88.2, 1575.0,  193.8,    9.0,    0.0,17591.9, 2176.9,1.00,0.00,0.00,1.00,0.00,0.00,137.80,51.20,0.00,10.00,0.00,1759.19,217.69,0.00591,0.00066,
17,  795.1,   88.3, 1659.6,  193.8,    9.0,    0.0,18536.8, 2177.1,1.00,0.00,0.00,1.00,0.00,0.00,167.05,69.31,0.00,10.00,0.00,1853.68,217.71,0.00561,0.00060,
18,  837.5,   87.3, 1748.6,  191.6,    9.0,    0.0,19531.0, 2152.7,1.00,0.00,0.00,1.00,0.00,0.00,178.45,69.13,0.00,10.00,0.00,1953.09,215.27,0.00532,0.00054,
19,  883.7,   97.2, 1841.7,  211.6,    9.0,    0.0,23119.3, 2672.4,1.00,0.00,0.00,1.00,0.00,0.00,239.40,100.10,0.00,10.00,0.00,2311.93,267.24,0.00567,0.00061,
20,  920.2,   97.9, 1918.0,  213.0,    9.0,    0.0,24077.8, 2691.2,1.00,0.00,0.00,1.00,0.00,0.00,270.95,112.51,0.00,10.00,0.00,2407.78,269.12,0.00544,0.00056,
