{sub_45, obj_11, read}
{sub_18, obj_55, read}
{sub_58, obj_67, read}
{sub_4, obj_67, read}
{sub_29, obj_1, read}
{sub_56, obj_27, read}
{sub_71, obj_67, read}
{sub_23, obj_67, read}
{sub_77, obj_42, read}
{sub_78, obj_22, read}
{sub_68, obj_2, read}
{sub_81, obj_36, read}
{sub_51, obj_21, read}
{sub_86, obj_30, read}
{sub_78, obj_15, read}
{sub_89, obj_42, read}
{sub_26, obj_53, read}
{sub_47, obj_67, read}
{sub_77, obj_81, read}
{sub_55, obj_67, read}
{sub_78, obj_1, read}
{sub_74, obj_30, read}
{sub_77, obj_1, read}
{sub_11, obj_38, read}
{sub_15, obj_67, read}
{sub_31, obj_99, read}
{sub_97, obj_2, read}
{sub_80, obj_80, read}
{sub_47, obj_10, read}
{sub_9, obj_31, read}
{sub_90, obj_31, read}
{sub_46, obj_38, read}
{sub_92, obj_15, read}
{sub_65, obj_46, read}
{sub_86, obj_43, read}
{sub_63, obj_42, read}
{sub_89, obj_81, read}
{sub_51, obj_5, read}
{sub_36, obj_38, read}
{sub_89, obj_1, read}
{sub_90, obj_14, read}
{sub_13, obj_78, read}
{sub_61, obj_90, read}
{sub_6, obj_67, read}
{sub_3, obj_60, read}
{sub_10, obj_90, read}
{sub_36, obj_67, read}
{sub_95, obj_21, read}
{sub_58, obj_16, read}
{sub_86, obj_62, read}
{sub_82, obj_46, read}
{sub_97, obj_90, read}
{sub_88, obj_30, read}
{sub_48, obj_46, read}
{sub_55, obj_60, read}
{sub_62, obj_11, read}
{sub_29, obj_73, read}
{sub_7, obj_78, read}
{sub_67, obj_90, read}
{sub_86, obj_38, read}
{sub_83, obj_7, read}
{sub_13, obj_62, read}
{sub_3, obj_53, read}
{sub_22, obj_80, read}
{sub_5, obj_81, read}
{sub_3, obj_40, read}
{sub_84, obj_10, read}
{sub_38, obj_36, read}
{sub_56, obj_53, read}
{sub_68, obj_62, read}
{sub_78, obj_30, read}
{sub_63, obj_74, read}
{sub_63, obj_20, read}
{sub_6, obj_78, read}
{sub_15, obj_20, read}
{sub_64, obj_95, read}
{sub_13, obj_19, read}
{sub_91, obj_19, read}
{sub_14, obj_67, read}
{sub_48, obj_53, read}
{sub_90, obj_92, read}
{sub_1, obj_49, read}
{sub_97, obj_69, read}
{sub_73, obj_55, read}
{sub_91, obj_55, read}
{sub_54, obj_42, read}
{sub_71, obj_46, read}
{sub_39, obj_38, read}
{sub_70, obj_79, read}
{sub_59, obj_13, read}
{sub_52, obj_15, read}
{sub_68, obj_27, read}
{sub_87, obj_53, read}
{sub_20, obj_20, read}
{sub_82, obj_75, read}
{sub_49, obj_67, read}
{sub_75, obj_30, read}
{sub_46, obj_62, read}
{sub_72, obj_84, read}
{sub_55, obj_80, read}
{sub_83, obj_67, read}
{sub_89, obj_46, read}
{sub_69, obj_20, read}
{sub_42, obj_81, read}
{sub_99, obj_74, read}
{sub_80, obj_42, read}
{sub_94, obj_55, read}
{sub_32, obj_61, read}
{sub_67, obj_44, read}
{sub_19, obj_16, read}
{sub_42, obj_30, read}
{sub_61, obj_53, read}
{sub_43, obj_63, read}
{sub_95, obj_19, read}
{sub_50, obj_41, read}
{sub_25, obj_21, read}
{sub_85, obj_53, read}
{sub_16, obj_46, read}
{sub_63, obj_67, read}
{sub_30, obj_75, read}
{sub_76, obj_55, read}
{sub_17, obj_53, read}
{sub_5, obj_2, read}
{sub_95, obj_65, read}
{sub_30, obj_99, read}
{sub_98, obj_1, read}
{sub_71, obj_2, read}
{sub_48, obj_42, read}
{sub_53, obj_53, read}
{sub_66, obj_36, read}
{sub_30, obj_81, read}
{sub_77, obj_46, read}
{sub_37, obj_90, read}
{sub_1, obj_12, read}
{sub_94, obj_13, read}
{sub_11, obj_67, read}
{sub_99, obj_46, read}
{sub_25, obj_81, read}
{sub_42, obj_94, read}
{sub_99, obj_2, read}
{sub_33, obj_65, read}
{sub_9, obj_30, read}
{sub_70, obj_92, read}
{sub_91, obj_27, read}
{sub_50, obj_51, read}
{sub_20, obj_67, read}
{sub_95, obj_78, read}
{sub_12, obj_81, read}
{sub_55, obj_90, read}
{sub_28, obj_3, read}
{sub_12, obj_1, read}
{sub_32, obj_25, read}
{sub_1, obj_74, read}
{sub_12, obj_25, read}
{sub_78, obj_26, read}
{sub_40, obj_61, read}
{sub_74, obj_7, read}
{sub_2, obj_25, read}
{sub_58, obj_22, read}
{sub_35, obj_55, read}
{sub_86, obj_13, read}
{sub_19, obj_33, read}
{sub_95, obj_53, read}
{sub_51, obj_62, read}
{sub_39, obj_62, read}
{sub_47, obj_42, read}
{sub_95, obj_90, read}
{sub_44, obj_58, read}
{sub_13, obj_5, read}
{sub_52, obj_63, read}
{sub_44, obj_61, read}
{sub_57, obj_90, read}
{sub_42, obj_31, read}
{sub_18, obj_19, read}
{sub_32, obj_1, read}
{sub_64, obj_35, read}
{sub_55, obj_85, read}
{sub_1, obj_100, read}
{sub_79, obj_30, read}
