Job 1: Waiting time = 0.002150700000000061 | Resolution time = 0.0020873999999999615 | Resolution type = Policy
Job 2: Waiting time = 0.002888300000000177 | Resolution time = 0.0007471999999999479 | Resolution type = Policy
Job 3: Waiting time = 0.0003830000000000222 | Resolution time = 0.000220000000000109 | Resolution type = Policy
Job 4: Waiting time = 0.00047669999999988555 | Resolution time = 0.0004519000000000606 | Resolution type = Policy
Job 5: Waiting time = 0.0014100999999999697 | Resolution time = 0.0013876999999999917 | Resolution type = None
Job 6: Waiting time = 0.0011270000000001001 | Resolution time = 0.0010620999999999547 | Resolution type = Policy
Job 7: Waiting time = 0.001875499999999919 | Resolution time = 0.0007387999999999284 | Resolution type = Policy
Job 8: Waiting time = 0.0011284999999998657 | Resolution time = 0.0011046999999999585 | Resolution type = Policy
Job 9: Waiting time = 0.0002803000000000111 | Resolution time = 0.0002619000000001481 | Resolution type = Policy
Job 10: Waiting time = 0.0005584999999999063 | Resolution time = 0.0005341999999999292 | Resolution type = Policy
Job 11: Waiting time = 0.00018270000000009112 | Resolution time = 0.000156000000000045 | Resolution type = Policy
Job 12: Waiting time = 0.0033647999999999456 | Resolution time = 0.0033368000000000286 | Resolution type = None
Job 13: Waiting time = 0.0020951000000000164 | Resolution time = 0.002068300000000356 | Resolution type = None
Job 14: Waiting time = 0.0014486000000002441 | Resolution time = 0.0014251999999999043 | Resolution type = Policy
Job 15: Waiting time = 0.0016449000000000602 | Resolution time = 0.0016183000000000725 | Resolution type = Policy
Job 16: Waiting time = 0.002694700000000161 | Resolution time = 0.002675200000000544 | Resolution type = None
Job 17: Waiting time = 0.003336099999999842 | Resolution time = 0.0033132999999998525 | Resolution type = None
Job 18: Waiting time = 0.0014785000000001602 | Resolution time = 0.0014509000000000327 | Resolution type = Policy
Job 19: Waiting time = 0.0007996999999999588 | Resolution time = 0.0006421999999997041 | Resolution type = Policy
Job 20: Waiting time = 0.0007144999999999513 | Resolution time = 0.0006960999999998663 | Resolution type = Policy
Job 21: Waiting time = 0.0012102999999998865 | Resolution time = 0.0011920999999999182 | Resolution type = Policy
Job 22: Waiting time = 0.0009014999999998885 | Resolution time = 0.0008755999999996433 | Resolution type = Policy
Job 23: Waiting time = 0.0005910000000000082 | Resolution time = 0.0005709999999998772 | Resolution type = Policy
Job 24: Waiting time = 0.0003097000000003014 | Resolution time = 0.00029299999999965465 | Resolution type = Policy
Job 25: Waiting time = 0.0007657000000000913 | Resolution time = 0.0007427999999998214 | Resolution type = Policy
Job 26: Waiting time = 0.0019943000000002264 | Resolution time = 0.001965699999999959 | Resolution type = None
Job 27: Waiting time = 0.0020958999999995953 | Resolution time = 0.001725899999999836 | Resolution type = Policy
Job 28: Waiting time = 0.002552399999999899 | Resolution time = 0.0005177000000000653 | Resolution type = Policy
Job 29: Waiting time = 0.002889699999999884 | Resolution time = 0.0003525999999998142 | Resolution type = Policy
Job 30: Waiting time = 0.004234999999999989 | Resolution time = 0.001341099999999873 | Resolution type = None
Job 31: Waiting time = 0.004486700000000177 | Resolution time = 0.0002709000000002959 | Resolution type = Policy
Job 32: Waiting time = 0.0047176000000002105 | Resolution time = 0.00024950000000023564 | Resolution type = Policy
Job 33: Waiting time = 0.005807899999999755 | Resolution time = 0.0011258000000000656 | Resolution type = None
Job 34: Waiting time = 0.006820199999999943 | Resolution time = 0.0010381000000001528 | Resolution type = None
Job 35: Waiting time = 0.007306999999999952 | Resolution time = 0.0005052999999999308 | Resolution type = Policy
Job 36: Waiting time = 0.007980399999999666 | Resolution time = 0.0007142999999998345 | Resolution type = Policy
Job 37: Waiting time = 0.0025558999999999443 | Resolution time = 0.0024714000000001235 | Resolution type = None
